species_id,formula,name,casno,charge,point_group,multiplicity,s_squared,closed_shell,n_electrons,n_atoms,geometry_source,geometry_method,xyz,cheapest_energy_method,cheapest_energy_basis,cheapest_energy,best_energy_method,best_energy_basis,best_energy
C14H14_103297,C14H14,Bibenzyl,103297,0,C2,1,0.0,1,98,28,calculated,CCSD/6-31G*,"C -1.764100 -1.568900 -1.503700
C 1.764100 1.568900 -1.503700
C 1.574800 0.735100 -0.399400
C 0.708800 3.383400 -0.312200
C -1.330600 -2.895600 -1.464300
C 1.330600 2.895600 -1.464300
C -1.574800 -0.735100 -0.399400
C -0.708800 -3.383400 -0.312200
C -0.955100 -1.213400 0.761700
C 0.955100 1.213400 0.761700
C 0.523500 2.546600 0.789700
C -0.523500 -2.546600 0.789700
C -0.708800 -0.306900 1.946800
C 0.708800 0.306900 1.946800
H -2.249800 -1.179900 -2.397600
H 2.249800 1.179900 -2.397600
H -1.479400 -3.547000 -2.324100
H 1.479400 3.547000 -2.324100
H -1.907200 0.301900 -0.440500
H 1.907200 -0.301900 -0.440500
H 0.372000 4.418400 -0.269900
H -0.372000 -4.418400 -0.269900
H 0.044000 2.936600 1.688700
H -0.044000 -2.936600 1.688700
H 1.450300 -0.504000 1.953900
H -1.450300 0.504000 1.953900
H -0.849000 -0.874400 2.878000
H 0.849000 0.874400 2.878000",HF,STO-3G,-531.80462,CCSD,6-31G*,-540.180505
C16H10_129000,C16H10,Pyrene,129000,0,D2h,1,0.0,1,106,26,calculated,CCSD/6-31G*,"C 0.000000 0.000000 0.718000
C 0.000000 0.000000 -0.718000
C 0.000000 1.231000 1.429400
C 0.000000 -1.231000 1.429400
C 0.000000 -1.231000 -1.429400
C 0.000000 1.231000 -1.429400
C 0.000000 1.210700 2.831600
C 0.000000 -1.210700 2.831600
C 0.000000 -1.210700 -2.831600
C 0.000000 1.210700 -2.831600
C 0.000000 2.468300 0.678800
C 0.000000 -2.468300 0.678800
C 0.000000 -2.468300 -0.678800
C 0.000000 2.468300 -0.678800
C 0.000000 0.000000 3.524000
C 0.000000 0.000000 -3.524000
H 0.000000 3.408000 1.231400
H 0.000000 -3.408000 1.231400
H 0.000000 -3.408000 -1.231400
H 0.000000 3.408000 -1.231400
H 0.000000 2.153000 3.379600
H 0.000000 -2.153000 3.379600
H 0.000000 -2.153000 -3.379600
H 0.000000 2.153000 -3.379600
H 0.000000 0.000000 4.613000
H 0.000000 0.000000 -4.613000",HF,STO-3G,-604.325325,CCSD(T)=FULL,6-31G*,-613.841881
C18H12_92240,C18H12,Tetracene,92240,0,D2h,1,0.0,1,120,30,,,,,,,,,
C19H16_519733,C19H16,Triphenylmethane,519733,0,C3,1,0.0,1,130,35,calculated,CCSD/cc-pVDZ,"C 0.000000 0.000000 0.779700
H 0.000000 0.000000 1.886800
C 0.000000 1.470700 0.349200
C 1.273700 -0.735400 0.349200
C -1.273700 -0.735400 0.349200
C 0.716400 1.930400 -0.771600
C 1.313600 -1.585600 -0.771600
C -2.030000 -0.344800 -0.771600
C -0.778600 2.393300 1.079200
C 2.462000 -0.522400 1.079200
C -1.683400 -1.870900 1.079200
C 0.652500 3.282800 -1.156200
C 2.516700 -2.206400 -1.156200
C -3.169200 -1.076300 -1.156200
C -0.841100 3.742900 0.701000
C 3.662000 -1.143000 0.701000
C -2.820900 -2.599800 0.701000
C -0.124800 4.193000 -0.423100
C 3.693600 -1.988500 -0.423100
C -3.568800 -2.204500 -0.423100
H 1.335400 1.232400 -1.344900
H 0.399600 -1.772700 -1.344900
H -1.735000 0.540300 -1.344900
H -1.344200 2.045000 1.952500
H 2.443100 0.141700 1.952500
H -1.098900 -2.186600 1.952500
H 1.217900 3.623700 -2.031100
H 2.529300 -2.866600 -2.031100
H -3.747200 -0.757100 -2.031100
H -1.447800 4.445100 1.284300
H 4.573500 -0.968800 1.284300
H -3.125700 -3.476300 1.284300
H -0.169900 5.246600 -0.720700
H 4.628600 -2.476100 -0.720700
H -4.458700 -2.770400 -0.720700",HF,STO-3G,-719.969218,CCSD,cc-pVDZ,-731.466818
C2+_12070154,C2,carbon diatomic cation,12070154,1,D∞h,4,3.75,0,11,2,experimental,,"C 0.000000 0.000000 0.000000
C 0.000000 0.000000 1.242500",HF,STO-3G,-74.199419,CCSD(T)=FULL,aug-cc-pVQZ,-75.421097
C2-_12070154,C2,carbon diatomic anion,12070154,-1,D∞h,2,0.75,0,13,2,experimental,,"C 0.000000 0.000000 0.000000
C 0.000000 0.000000 1.242500",HF,6-31G*,-75.517713,CCSD(T),cc-pV(T+d)Z,-75.889412
C24H12_191071,C24H12,Coronene,191071,0,D6h,1,0.0,1,156,36,calculated,CID/6-31G*,"C 0.000000 1.420800 0.000000
C 1.230500 0.710400 0.000000
C 1.230500 -0.710400 0.000000
C 0.000000 -1.420800 0.000000
C -1.230500 -0.710400 0.000000
C -1.230500 0.710400 0.000000
C 0.000000 2.817800 0.000000
C 2.440300 1.408900 0.000000
C 2.440300 -1.408900 0.000000
C 0.000000 -2.817800 0.000000
C -2.440300 -1.408900 0.000000
C -2.440300 1.408900 0.000000
C 1.241700 3.504100 0.000000
C 2.413800 2.827400 0.000000
C 3.655500 0.676700 0.000000
C 3.655500 -0.676700 0.000000
C 2.413800 -2.827400 0.000000
C 1.241700 -3.504100 0.000000
C -1.241700 -3.504100 0.000000
C -2.413800 -2.827400 0.000000
C -3.655500 -0.676700 0.000000
C -3.655500 0.676700 0.000000
C -2.413800 2.827400 0.000000
C -1.241700 3.504100 0.000000
H 1.238200 4.580900 0.000000
H 3.348100 3.362700 0.000000
H 4.586200 1.218200 0.000000
H 4.586200 -1.218200 0.000000
H 3.348100 -3.362700 0.000000
H 1.238200 -4.580900 0.000000
H -1.238200 -4.580900 0.000000
H -3.348100 -3.362700 0.000000
H -4.586200 -1.218200 0.000000
H -4.586200 1.218200 0.000000
H -3.348100 3.362700 0.000000
H -1.238200 4.580900 0.000000",HF,STO-3G,-904.822707,QCISD,cc-pVDZ,-919.151344
C2Br4_79287,C2Br4,tetrabromoethene,79287,0,D2h,1,0.0,1,152,6,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.000000 0.000000 0.680100
C 0.000000 0.000000 -0.680100
Br 0.000000 1.596400 1.698600
Br 0.000000 -1.596400 1.698600
Br 0.000000 -1.596400 -1.698600
Br 0.000000 1.596400 -1.698600",HF,STO-3G,-10253.445976,CCSD(T)=FULL,cc-pVTZ,-10367.055316
C2Cl2+_7572294,C2Cl2,dichloroacetylene cation,7572294,1,D∞h,2,0.763,0,45,4,experimental,,"C 0.000000 0.000000 0.623000
C 0.000000 0.000000 -0.623000
Cl 0.000000 0.000000 2.234800
Cl 0.000000 0.000000 -2.234800",HF,6-31G*,-994.255938,MP3=FULL,6-31+G**,-994.803982
C2Cl2F2_311819,C2Cl2F2,"cis-1,2-dichloro-1,2-difluoroethylene",311819,0,C2v,1,0.0,1,64,6,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"C 0.000000 0.664900 0.413500
C 0.000000 -0.664900 0.413500
F 0.000000 1.325700 1.563900
F 0.000000 -1.325700 1.563900
Cl 0.000000 1.644400 -0.973900
Cl 0.000000 -1.644400 -0.973900",HF,STO-3G,-1179.983893,CCSD(T)=FULL,aug-cc-pVTZ,-1195.121183
C2Cl2F2_381715,C2Cl2F2,"trans-1,2-dichloro-1,2-difluoroethylene",381715,0,C2h,1,0.0,1,64,6,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"C -0.060400 0.661500 0.000000
C 0.060400 -0.661500 0.000000
F -1.255200 1.233600 0.000000
F 1.255200 -1.233600 0.000000
Cl 1.255200 1.738700 0.000000
Cl -1.255200 -1.738700 0.000000",HF,STO-3G,-1179.986692,CCSD(T)=FULL,aug-cc-pVTZ,-1195.122354
C2Cl2F2_79356,C2Cl2F2,difluorodichloroethylene,79356,0,C2v,1,0.0,1,64,6,experimental,,"C 0.000000 0.000000 1.069700
C 0.000000 0.000000 -0.244300
F 0.000000 1.115100 1.821800
F 0.000000 -1.115100 1.821800
Cl 0.000000 1.469900 -1.110200
Cl 0.000000 -1.469900 -1.110200",HF,STO-3G,-1179.988781,CCSD(T)=FULL,aug-cc-pVTZ,-1195.127551
C2Cl2F4_374072,C2Cl2F4,"1,1-Dichlorotetrafluoroethane",374072,0,Cs,1,0.0,1,82,8,calculated,MP3=FULL/6-31+G**,"C 0.397800 -0.335500 0.000000
C -0.354800 1.017300 0.000000
F 1.718100 -0.050600 0.000000
Cl -0.012900 -1.231600 1.457200
Cl -0.012900 -1.231600 -1.457200
F -1.672300 0.823500 0.000000
F -0.012900 1.712600 1.084700
F -0.012900 1.712600 -1.084700",HF,6-31G*,-1392.437592,MP3=FULL,6-31+G**,-1393.732645
C2Cl2F4_76142,C2Cl2F4,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",76142,0,C2,1,0.0,1,82,8,calculated,CCSD(T)=FULL/cc-pVDZ,"C -0.239300 0.738900 0.000000
C 0.239300 -0.738900 0.000000
Cl -2.012800 0.815200 0.000000
Cl 2.012800 -0.815200 0.000000
F 0.239300 1.355300 1.090900
F 0.239300 1.355300 -1.090900
F -0.239300 -1.355300 1.090900
F -0.239300 -1.355300 -1.090900",HF,STO-3G,-1376.126249,CCSD(T)=FULL,cc-pVTZ,-1394.553669
C2Cl2O2_79378,C2Cl2O2,Oxalyl chloride,79378,0,C2h,1,0.0,1,62,6,experimental,,"C -0.169100 0.748100 0.000000
C 0.169100 -0.748100 0.000000
O -1.269200 1.180600 0.000000
O 1.269200 -1.180600 0.000000
Cl 1.269200 1.734400 0.000000
Cl -1.269200 -1.734400 0.000000",HF,STO-3G,-1131.607141,CCSD(T)=FULL,cc-pVTZ,-1145.838894
C2Cl2_7572294,C2Cl2,dichloroacetylene,7572294,0,D∞h,1,0.0,1,46,4,experimental,,"C 0.000000 0.000000 0.623000
C 0.000000 0.000000 -0.623000
Cl 0.000000 0.000000 2.234800
Cl 0.000000 0.000000 -2.234800",HF,STO-3G,-983.839808,CCSD(T),cc-pVTZ,-995.434126
C2Cl3F3_354585,C2Cl3F3,"1,1,1-trifluoro-2,2,2-trichloroethane",354585,0,C3v,1,0.0,1,90,8,experimental,,"C 0.000000 0.000000 1.163200
C 0.000000 0.000000 -0.386100
F 0.000000 -1.243700 1.620500
F 1.077100 0.621800 1.620500
F -1.077100 0.621800 1.620500
Cl 0.000000 1.666000 -0.949400
Cl 1.442800 -0.833000 -0.949400
Cl -1.442800 -0.833000 -0.949400",,,,,,
C2Cl3F3_76131,C2Cl3F3,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",76131,0,C1,1,0.0,1,90,8,calculated,CCD/cc-pVDZ,"C 0.573900 0.149600 0.312400
C -0.722600 -0.527300 -0.231100
F 0.458800 0.247300 1.650000
Cl 1.969700 -0.881300 -0.071600
Cl 0.780500 1.764400 -0.385500
Cl -2.169800 0.383100 0.230100
F -0.652800 -0.628000 -1.560600
F -0.803200 -1.759300 0.285100",HF,STO-3G,-1732.654539,CCSD(T),cc-pVDZ,-1753.812525
C2Cl3F_359295,C2Cl3F,fluorotrichloroethene,359295,0,Cs,1,0.0,1,72,6,,,,,,,,,
C2Cl4_127184,C2Cl4,Tetrachloroethylene,127184,0,D2h,1,0.0,1,80,6,calculated,CCD/6-31G*,"C 0.000000 0.000000 0.671800
C 0.000000 0.000000 -0.671800
Cl 0.000000 1.453200 1.596000
Cl 0.000000 -1.453200 1.596000
Cl 0.000000 -1.453200 -1.596000
Cl 0.000000 1.453200 -1.596000",HF,STO-3G,-1893.055808,QCISD,6-31+G**,-1914.449609
C2Cl6_67721,C2Cl6,hexachloroethane,67721,0,D3d,1,0.0,1,114,8,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.000000 0.000000 0.789400
C 0.000000 0.000000 -0.789400
Cl 0.000000 1.685100 1.398000
Cl -1.459300 -0.842500 1.398000
Cl 1.459300 -0.842500 1.398000
Cl 0.000000 -1.685100 -1.398000
Cl -1.459300 0.842500 -1.398000
Cl 1.459300 0.842500 -1.398000",HF,STO-3G,-2802.231181,CCSD(T)=FULL,cc-pVTZ,-2834.659916
C2ClF3O_354325,C2ClF3O,trifluoroacetyl chloride,354325,0,Cs,1,0.0,1,64,7,calculated,MP3=FULL/6-31+G**,"C 0.538600 -0.687600 0.000000
C 0.072600 0.790100 0.000000
O 0.823000 1.707900 0.000000
F 1.865300 -0.740500 0.000000
F 0.072600 -1.310100 1.087000
F 0.072600 -1.310100 -1.087000
Cl -1.667500 0.939300 0.000000",HF,6-31G*,-908.390724,MP3=FULL,6-31+G**,-909.521847
C2ClF3_79389,C2ClF3,"Ethene, chlorotrifluoro-",79389,0,Cs,1,0.0,1,56,6,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"C -0.678700 -0.665400 0.000000
C 0.000000 0.471900 0.000000
F -1.988100 -0.726300 0.000000
F -0.118600 -1.849500 0.000000
F -0.646500 1.632300 0.000000
Cl 1.697100 0.567800 0.000000",HF,STO-3G,-823.448037,CCSD(T)=FULL,aug-cc-pVTZ,-835.102297
C2ClF5_76153,C2ClF5,pentafluorochloroethane,76153,0,Cs,1,0.0,1,74,8,calculated,CCSD(T)=FULL/cc-pVDZ,"C 0.090600 -0.634600 0.000000
C -0.626800 0.735600 0.000000
Cl 1.850400 -0.440600 0.000000
F -0.297500 -1.315000 1.091100
F -0.297500 -1.315000 -1.091100
F -1.947900 0.529000 0.000000
F -0.297500 1.432900 1.088500
F -0.297500 1.432900 -1.088500",HF,STO-3G,-1019.593258,CCSD(T)=FULL,cc-pVTZ,-1034.528213
C2F2_689996,C2F2,difluoroacetylene,689996,0,D∞h,1,0.0,1,30,4,calculated,CCSD(T)/cc-pVTZ,"C 0.000000 0.000000 0.596400
C 0.000000 0.000000 -0.596400
F 0.000000 0.000000 1.885000
F 0.000000 0.000000 -1.885000",HF,STO-3G,-270.751771,CCSD(T),cc-pVTZ,-275.391598
C2F3N+_353855,C2F3N,"Acetonitrile, trifluoro- cation",353855,1,C3v,,,,45,6,experimental,,"C 0.000000 0.000000 -0.340600
C 0.000000 0.000000 1.151800
N 0.000000 0.000000 2.305400
F 0.000000 1.254000 -0.778000
F 1.086000 -0.627000 -0.778000
F -1.086000 -0.627000 -0.778000",HF,TZVP,-428.18208,MP2,TZVP,-429.15368
C2F3N_353855,C2F3N,"Acetonitrile, trifluoro-",353855,0,C3v,1,0.0,1,46,6,experimental,,"C 0.000000 0.000000 -0.340600
C 0.000000 0.000000 1.151800
N 0.000000 0.000000 2.305400
F 0.000000 1.254000 -0.778000
F 1.086000 -0.627000 -0.778000
F -1.086000 -0.627000 -0.778000",HF,STO-3G,-422.636458,QCISD,6-31+G**,-429.435867
C2F3O2-_14477726,C2F3O2,trifluoro acetate anion,14477726,-1,,1,0.0,1,56,7,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.088600 0.504200 0.000000
C -0.223800 -1.039500 0.000000
F -1.010200 1.316200 0.000000
F 0.825300 0.884500 1.095500
F 0.825300 0.884500 -1.095500
O -1.444400 -1.335900 0.000000
O 0.825300 -1.733600 0.000000",HF,STO-3G,-516.462096,CCSD(T)=FULL,aug-cc-pVTZ,-525.715882
C2F4+_116143,C2F4,Tetrafluoroethylene cation,116143,1,D2h,,,,47,6,experimental,,"C 0.000000 0.000000 0.655500
C 0.000000 0.000000 -0.655500
F 0.000000 1.096100 1.389300
F 0.000000 -1.096100 1.389300
F 0.000000 -1.096100 -1.389300
F 0.000000 1.096100 -1.389300",HF,TZVP,-473.042094,MP2,TZVP,-474.136955
C2F4O_354347,C2F4O,trifluoroacetyl fluoride,354347,0,Cs,1,0.0,1,56,7,calculated,CCSD(T)=FULL/cc-pVTZ,"C 0.077000 0.581500 0.000000
C -0.303800 -0.900700 0.000000
O -1.395200 -1.345000 0.000000
F -1.008100 1.330800 0.000000
F 0.799800 0.858800 1.080100
F 0.799800 0.858800 -1.080100
F 0.799800 -1.640100 0.000000",HF,STO-3G,-540.79175,CCSD(T)=FULL,aug-cc-pVTZ,-910.225331
C2F4_116143,C2F4,Tetrafluoroethylene,116143,0,D2h,1,0.0,1,48,6,experimental,,"C 0.000000 0.000000 0.655500
C 0.000000 0.000000 -0.655500
F 0.000000 1.096100 1.389300
F 0.000000 -1.096100 1.389300
F 0.000000 -1.096100 -1.389300
F 0.000000 1.096100 -1.389300",HF,STO-3G,-466.906733,QCISD,6-31+G**,-474.396745
C2F6_76164,C2F6,hexafluoroethane,76164,0,D3d,1,0.0,1,66,8,experimental,,"C 0.000000 0.000000 0.780000
C 0.000000 0.000000 -0.780000
F 0.000000 1.244300 1.220600
F -1.077600 -0.622100 1.220600
F 1.077600 -0.622100 1.220600
F 0.000000 -1.244300 -1.220600
F -1.077600 0.622100 -1.220600
F 1.077600 0.622100 -1.220600",HF,STO-3G,-663.05949,CCSD(T),6-31G*,-673.694351
C2H+_2122487,C2H,Ethynyl cation,2122487,1,Cs,3,2.001,0,12,3,experimental,,"C 0.000000 0.000000 0.000000
C 0.000000 0.000000 -1.216500
H 0.000000 0.000000 1.046500",HF,STO-3G,-74.878321,CCSD(T)=FULL,6-31G*,-75.992862
C2H-_2122487,C2H,Ethynyl anion,2122487,-1,Cs,1,0.0,1,14,3,experimental,,"C 0.000000 0.000000 0.000000
C 0.000000 0.000000 -1.216500
H 0.000000 0.000000 1.046500",HF,STO-3G,-75.065196,CCSD(T)=FULL,aug-cc-pVQZ,-76.656494
C2H2+_74862,C2H2,acetylene cation,74862,1,D∞h,2,0.75,0,13,4,experimental,,"C 0.000000 0.000000 0.601300
C 0.000000 0.000000 -0.601300
H 0.000000 0.000000 1.664400
H 0.000000 0.000000 -1.664400",HF,STO-3G,-75.535485,CCSD(T)=FULL,aug-cc-pVQZ,-76.851575
C2H2-_2143693,C2H2,vinylidene anion,2143693,-1,C2v,2,0.752,0,15,4,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"C 0.000000 0.000000 -0.487100
C 0.000000 0.000000 0.852900
H 0.000000 0.919700 -1.097200
H 0.000000 -0.919700 -1.097200",HF,STO-3G,-75.622657,CCSD(T)=FULL,aug-cc-pVQZ,-77.214757
C2H2-_74862,C2H2,acetylene anion,74862,-1,D∞h,2,0.75,0,15,4,experimental,,"C 0.000000 0.000000 0.601300
C 0.000000 0.000000 -0.601300
H 0.000000 0.000000 1.664400
H 0.000000 0.000000 -1.664400",HF,STO-3G,-75.486961,CCSD(T)=FULL,aug-cc-pVQZ,-77.244175
C2H2Br2_590114,C2H2Br2,"Ethene, 1,2-dibromo-, (Z)-",590114,0,C2v,1,0.0,1,84,6,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"C 0.000000 0.663900 1.245600
C 0.000000 -0.663900 1.245600
Br 0.000000 1.740400 -0.275700
Br 0.000000 -1.740400 -0.275700
H 0.000000 1.204200 2.174800
H 0.000000 -1.204200 2.174800",HF,STO-3G,-5165.265783,CCSD(T)=FULL,cc-pVQZ,-5223.034036
C2H2Br2_590125,C2H2Br2,"Ethene, 1,2-dibromo-, (E)-",590125,0,C2h,1,0.0,1,84,6,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"C -0.376800 0.544600 0.000000
C 0.376800 -0.544600 0.000000
Br 0.376800 2.259900 0.000000
Br -0.376800 -2.259900 0.000000
H -1.451600 0.521900 0.000000
H 1.451600 -0.521900 0.000000",HF,STO-3G,-5165.266606,CCSD(T)=FULL,cc-pVQZ,-5222.913271
C2H2Br2_593920,C2H2Br2,"1,1-dibromoethene",593920,0,C2v,1,0.0,1,84,6,calculated,HF/daug-cc-pVTZ,"C 0.000000 0.000000 0.702500
C 0.000000 0.000000 2.010200
Br 0.000000 1.593800 -0.305600
Br 0.000000 -1.593800 -0.305600
H 0.000000 0.921400 2.557400
H 0.000000 -0.921400 2.557400",HF,daug-cc-pVTZ,-5221.815468,,,
C2H2Br4_630160,C2H2Br4,"1,1,1,2-tetrabromo ethane",630160,0,Cs,1,0.0,1,154,8,calculated,CCSD(T)=FULL/cc-pVDZ,"C 0.196100 0.342400 0.000000
C -1.336300 0.442700 0.000000
Br 0.848400 2.206900 0.000000
Br 0.848400 -0.562300 1.605700
Br 0.848400 -0.562300 -1.605700
Br -2.255000 -1.273200 0.000000
H -1.655800 0.985600 0.903000
H -1.655800 0.985600 -0.903000",HF,STO-3G,-10254.642167,CCSD(T)=FULL,cc-pVDZ,-10367.323007
C2H2Cl2F2_33489304,C2H2Cl2F2,"1,2-dichloro-1,2-difluoroethane RR",33489304,0,C2,1,0.0,1,66,8,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C -0.225500 0.732200 0.394900
C 0.225500 -0.732200 0.394900
H -1.320200 0.825300 0.344400
H 1.320200 -0.825300 0.344400
F 0.225500 1.310900 1.565300
F -0.225500 -1.310900 1.565300
Cl 0.493100 1.602800 -0.988400
Cl -0.493100 -1.602800 -0.988400",HF,STO-3G,-1181.200452,CCSD(T)=FULL,cc-pVTZ,-1196.320183
C2H2Cl2F2_33579372,C2H2Cl2F2,"ethane, 1,2-dichloro-1,2-difluoro-",33579372,0,Ci,1,0.0,1,66,8,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.000000 0.000000 -0.765800
C 0.000000 0.000000 0.765800
H 1.020500 0.000000 -1.175500
H -1.020500 0.000000 1.175500
F -0.676200 -1.118900 -1.206000
F 0.676200 1.118900 1.206000
Cl -0.849900 1.456600 -1.361000
Cl 0.849900 -1.456600 1.361000",HF,STO-3G,-1181.202462,CCSD(T)=FULL,cc-pVTZ,-1196.320514
C2H2Cl2F2_471432,C2H2Cl2F2,"1,1-dichloro-2,2-difluoroethane",471432,0,Cs,1,0.0,1,66,8,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.416700 -0.225800 0.000000
C -0.361900 1.094000 0.000000
H 1.503800 -0.058100 0.000000
H -1.449000 0.926200 0.000000
Cl -0.007400 -1.146800 1.477600
Cl -0.007400 -1.146800 -1.477600
F -0.007400 1.828500 1.103400
F -0.007400 1.828500 -1.103400",HF,STO-3G,-1181.199864,CCSD(T)=FULL,cc-pVTZ,-1196.326984
C2H2Cl2O_79027,C2H2Cl2O,dichloroacetaldehyde,79027,0,C1,1,0.0,1,56,7,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.097400 -0.028700 0.529300
C -0.717300 -1.290000 0.190100
H 0.228900 0.056400 1.618900
Cl 1.747200 -0.264900 -0.169300
Cl -0.673600 1.459400 -0.059200
O -1.821300 -1.277100 -0.314200
H -0.190300 -2.234500 0.462500",HF,STO-3G,-1058.932235,CCSD(T)=FULL,cc-pVTZ,-1071.952892
C2H2Cl2_156592,C2H2Cl2,"Ethene, 1,2-dichloro-, (Z)-",156592,0,C2v,1,0.0,1,48,6,experimental,,"C 0.000000 0.658700 0.967400
C 0.000000 -0.658700 0.967400
H 0.000000 1.261000 1.888600
H 0.000000 -1.261000 1.888600
Cl 0.000000 1.624400 -0.452500
Cl 0.000000 -1.624400 -0.452500",HF,STO-3G,-985.076035,CCSD(T),6-31G*,-996.402433
C2H2Cl2_156605,C2H2Cl2,"Ethene, 1,2-dichloro-, (E)-",156605,0,C2h,1,0.0,1,48,6,calculated,CCSD(T)/6-31G*,"C -0.368700 0.558800 0.000000
C 0.368700 -0.558800 0.000000
H -1.455200 0.564500 0.000000
H 1.455200 -0.564500 0.000000
Cl 0.368700 2.129600 0.000000
Cl -0.368700 -2.129600 0.000000",HF,STO-3G,-985.07741,CCSD(T),6-31G*,-996.402066
C2H2Cl2_75354,C2H2Cl2,"Ethene, 1,1-dichloro-",75354,0,C2v,1,0.0,1,48,6,experimental,,"C 0.000000 0.000000 1.736300
C 0.000000 0.000000 0.412300
H 0.000000 0.926600 2.271300
H 0.000000 -0.926600 2.271300
Cl 0.000000 1.438200 -0.512800
Cl 0.000000 -1.438200 -0.512800",HF,STO-3G,-985.074504,CCSD(T),6-31G*,-996.399974
C2H2Cl4_630206,C2H2Cl4,"1,1,1,2-tetrachloroethane",630206,0,,1,0.0,1,82,8,calculated,CCSD(T)=FULL/cc-pVTZ,"C 0.266900 0.283100 0.000000
C -1.251000 0.369700 0.000000
Cl -2.039700 -1.217600 0.000000
Cl 0.856900 1.968300 0.000000
Cl 0.856900 -0.543700 1.451600
Cl 0.856900 -0.543700 -1.451600
H -1.560400 0.904000 0.889500
H -1.560400 0.904000 -0.889500",HF,STO-3G,-1894.272327,CCSD(T)=FULL,cc-pVTZ,-1916.354327
C2H2Cl4_79345,C2H2Cl4,"Ethane, 1,1,2,2-tetrachloro-",79345,0,C2,1,0.0,1,82,8,calculated,CCSD(T)=FULL/cc-pV(T+d)Z,"C -0.272600 0.712100 0.000000
C 0.272600 -0.712100 0.000000
H -1.352900 0.699800 0.000000
H 1.352900 -0.699800 0.000000
Cl 0.272600 1.575300 1.447000
Cl 0.272600 1.575300 -1.447000
Cl -0.272600 -1.575300 1.447000
Cl -0.272600 -1.575300 -1.447000",HF,STO-3G,-1894.274377,CCSD(T)=FULL,cc-pVTZ,-1916.356454
C2H2ClF3_75887,C2H2ClF3,"2,2,2-Trifluoroethyl chloride",75887,0,Cs,1,0.0,1,58,8,calculated,CCSD(T)=FULL/cc-pVDZ,"C -0.862300 0.491900 0.000000
C 0.657100 0.428900 0.000000
Cl -1.593100 -1.135600 0.000000
H -1.188700 1.033200 0.901100
H -1.188700 1.033200 -0.901100
F 1.136700 1.690400 0.000000
F 1.136700 -0.194500 1.085900
F 1.136700 -0.194500 -1.085900",HF,STO-3G,-824.683065,CCSD(T)=FULL,cc-pVTZ,-836.330579
C2H2ClF_2268317,C2H2ClF,(Z)-1-Chloro-2-fluoroethene,2268317,0,Cs,1,0.0,1,40,6,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.000000 0.880000 0.000000
C 1.266800 0.426000 0.000000
Cl -1.391500 -0.165200 0.000000
F 1.568500 -0.895300 0.000000
H -0.205300 1.952100 0.000000
H 2.143900 1.078000 0.000000",HF,STO-3G,-628.533634,CCSD(T)=FULL,cc-pVTZ,-636.776979
C2H2ClF_2268328,C2H2ClF,(E)-1-chloro-2-fluoroethene,2268328,0,Cs,1,0.0,1,40,6,calculated,CCSD(T)=FULL/aug-cc-pVDZ,"C 0.000000 0.489400 0.000000
C 1.027200 -0.379000 0.000000
Cl -1.648500 -0.089900 0.000000
F 2.309100 0.084600 0.000000
H 0.125900 1.574200 0.000000
H 0.953600 -1.468800 0.000000",HF,STO-3G,-628.533378,CCSD(T)=FULL,aug-cc-pVTZ,-636.768197
C2H2ClF_2317911,C2H2ClF,1-chloro-1-fluoroethylene,2317911,0,Cs,1,0.0,1,40,6,experimental,,"C 0.000000 0.441000 0.000000
C -0.984300 1.330600 0.000000
F 1.288300 0.813900 0.000000
Cl -0.172700 -1.254400 0.000000
H -0.745400 2.385800 0.000000
H -2.007500 0.984000 0.000000",HF,STO-3G,-628.538435,CCSD(T)=FULL,cc-pVTZ,-636.780558
C2H2F2_1630779,C2H2F2,"Ethene, 1,2-difluoro-, (Z)-",1630779,0,C2v,1,0.0,1,32,6,experimental,,"C 0.000000 0.661900 0.642800
C 0.000000 -0.661900 0.642800
F 0.000000 1.371400 -0.488000
F 0.000000 -1.371400 -0.488000
H 0.000000 1.269100 1.546500
H 0.000000 -1.269100 -1.546500",HF,STO-3G,-271.985658,CCSD(T),6-311G**,-276.517909
